start_s,end_s
3.95,4.75
8.1,8.75
8.75,9.3
15.700000000000001,16.25
29.0,29.85
36.15,36.7
40.25,41.0
48.800000000000004,49.4
49.4,49.65
65.45,66.2
74.75,75.5
83.95,85.05
121.10000000000001,121.8
121.8,122.15
138.95000000000002,139.55
139.55,139.8
158.6,159.35
159.35,160.15
162.1,162.8
173.9,174.70000000000002
194.55,195.20000000000002
207.8,208.5
219.9,220.70000000000002
221.0,221.45000000000002
225.55,226.20000000000002
247.95000000000002,248.65
273.5,274.2
274.2,274.5
276.5,277.15000000000003
279.35,280.0
280.0,280.3
284.35,285.0
300.35,301.3
301.3,302.0
307.90000000000003,308.6
313.2,313.85
313.85,315.1
319.7,320.55
321.5,322.2
331.45,332.2
332.2,333.1
334.95,335.40000000000003
340.35,340.65000000000003
340.95,341.65000000000003
341.95,342.25
346.05,346.7
374.8,375.40000000000003
375.7,376.0
384.75,385.45
385.45,385.7
393.2,393.8
393.8,394.65000000000003
397.8,398.6
400.25,401.0
401.0,401.55
409.75,410.3
414.55,415.65000000000003
415.65000000000003,416.06
416.21000000000004,416.86
416.86,417.15000000000003
419.55,420.25
426.3,426.90000000000003
426.90000000000003,427.25
431.45,432.1
435.75,436.5
436.5,436.8
439.25,440.8
445.25,446.05
452.40000000000003,453.8
453.8,454.3
455.45,456.25
458.25,458.85
458.85,459.65000000000003
459.65000000000003,460.90000000000003
460.90000000000003,461.6
462.8,463.3
467.35,468.1
472.5,473.15000000000003
476.25,476.90000000000003
478.0,478.75
482.2,482.90000000000003
492.65000000000003,493.3
494.85,495.7
495.7,496.0
501.25,501.85
501.85,502.1
507.3,508.15000000000003
509.25,509.95
509.95,510.85
510.85,511.7
511.7,511.95
519.45,520.15
520.15,520.9
520.9,521.6
523.15,523.85
523.85,524.45
524.45,525.25
525.25,525.95
529.6,530.45
533.7,534.55
541.3,542.15
544.75,545.5
547.5,548.4
548.4,549.85
551.5,552.35
554.25,555.0500000000001
557.35,558.0500000000001
558.0500000000001,558.3000000000001
560.9,561.85
561.85,562.2
564.75,565.6
565.6,565.85
569.35,570.0
570.0,570.9
570.9,571.85
571.85,572.6
572.6,572.9
578.2,578.85
579.15,579.8000000000001
581.9,582.7
582.7,583.3000000000001
583.3000000000001,584.0500000000001
584.0500000000001,584.7
590.75,591.5
591.5,591.8000000000001
592.4,593.15
593.15,593.45
596.4,597.2
