Selection	View	Channel	Begin Time (s)	End Time (s)
1	Spectrogram 1	1	3.95	4.75
2	Spectrogram 1	1	8.1	8.75
3	Spectrogram 1	1	8.75	9.3
4	Spectrogram 1	1	15.700000000000001	16.25
5	Spectrogram 1	1	29.0	29.85
6	Spectrogram 1	1	36.15	36.7
7	Spectrogram 1	1	40.25	41.0
8	Spectrogram 1	1	48.800000000000004	49.4
9	Spectrogram 1	1	49.4	49.65
10	Spectrogram 1	1	65.45	66.2
11	Spectrogram 1	1	74.75	75.5
12	Spectrogram 1	1	83.95	85.05
13	Spectrogram 1	1	121.10000000000001	121.8
14	Spectrogram 1	1	121.8	122.15
15	Spectrogram 1	1	138.95000000000002	139.55
16	Spectrogram 1	1	139.55	139.8
17	Spectrogram 1	1	158.6	159.35
18	Spectrogram 1	1	159.35	160.15
19	Spectrogram 1	1	162.1	162.8
20	Spectrogram 1	1	173.9	174.70000000000002
21	Spectrogram 1	1	194.55	195.20000000000002
22	Spectrogram 1	1	207.8	208.5
23	Spectrogram 1	1	219.9	220.70000000000002
24	Spectrogram 1	1	221.0	221.45000000000002
25	Spectrogram 1	1	225.55	226.20000000000002
26	Spectrogram 1	1	247.95000000000002	248.65
27	Spectrogram 1	1	273.5	274.2
28	Spectrogram 1	1	274.2	274.5
29	Spectrogram 1	1	276.5	277.15000000000003
30	Spectrogram 1	1	279.35	280.0
31	Spectrogram 1	1	280.0	280.3
32	Spectrogram 1	1	284.35	285.0
33	Spectrogram 1	1	300.35	301.3
34	Spectrogram 1	1	301.3	302.0
35	Spectrogram 1	1	307.90000000000003	308.6
36	Spectrogram 1	1	313.2	313.85
37	Spectrogram 1	1	313.85	315.1
38	Spectrogram 1	1	319.7	320.55
39	Spectrogram 1	1	321.5	322.2
40	Spectrogram 1	1	331.45	332.2
41	Spectrogram 1	1	332.2	333.1
42	Spectrogram 1	1	334.95	335.40000000000003
43	Spectrogram 1	1	340.35	340.65000000000003
44	Spectrogram 1	1	340.95	341.65000000000003
45	Spectrogram 1	1	341.95	342.25
46	Spectrogram 1	1	346.05	346.7
47	Spectrogram 1	1	374.8	375.40000000000003
48	Spectrogram 1	1	375.7	376.0
49	Spectrogram 1	1	384.75	385.45
50	Spectrogram 1	1	385.45	385.7
51	Spectrogram 1	1	393.2	393.8
52	Spectrogram 1	1	393.8	394.65000000000003
53	Spectrogram 1	1	397.8	398.6
54	Spectrogram 1	1	400.25	401.0
55	Spectrogram 1	1	401.0	401.55
56	Spectrogram 1	1	409.75	410.3
57	Spectrogram 1	1	414.55	415.65000000000003
58	Spectrogram 1	1	415.65000000000003	416.06
59	Spectrogram 1	1	416.21000000000004	416.86
60	Spectrogram 1	1	416.86	417.15000000000003
61	Spectrogram 1	1	419.55	420.25
62	Spectrogram 1	1	426.3	426.90000000000003
63	Spectrogram 1	1	426.90000000000003	427.25
64	Spectrogram 1	1	431.45	432.1
65	Spectrogram 1	1	435.75	436.5
66	Spectrogram 1	1	436.5	436.8
67	Spectrogram 1	1	439.25	440.8
68	Spectrogram 1	1	445.25	446.05
69	Spectrogram 1	1	452.40000000000003	453.8
70	Spectrogram 1	1	453.8	454.3
71	Spectrogram 1	1	455.45	456.25
72	Spectrogram 1	1	458.25	458.85
73	Spectrogram 1	1	458.85	459.65000000000003
74	Spectrogram 1	1	459.65000000000003	460.90000000000003
75	Spectrogram 1	1	460.90000000000003	461.6
76	Spectrogram 1	1	462.8	463.3
77	Spectrogram 1	1	467.35	468.1
78	Spectrogram 1	1	472.5	473.15000000000003
79	Spectrogram 1	1	476.25	476.90000000000003
80	Spectrogram 1	1	478.0	478.75
81	Spectrogram 1	1	482.2	482.90000000000003
82	Spectrogram 1	1	492.65000000000003	493.3
83	Spectrogram 1	1	494.85	495.7
84	Spectrogram 1	1	495.7	496.0
85	Spectrogram 1	1	501.25	501.85
86	Spectrogram 1	1	501.85	502.1
87	Spectrogram 1	1	507.3	508.15000000000003
88	Spectrogram 1	1	509.25	509.95
89	Spectrogram 1	1	509.95	510.85
90	Spectrogram 1	1	510.85	511.7
91	Spectrogram 1	1	511.7	511.95
92	Spectrogram 1	1	519.45	520.15
93	Spectrogram 1	1	520.15	520.9
94	Spectrogram 1	1	520.9	521.6
95	Spectrogram 1	1	523.15	523.85
96	Spectrogram 1	1	523.85	524.45
97	Spectrogram 1	1	524.45	525.25
98	Spectrogram 1	1	525.25	525.95
99	Spectrogram 1	1	529.6	530.45
100	Spectrogram 1	1	533.7	534.55
101	Spectrogram 1	1	541.3	542.15
102	Spectrogram 1	1	544.75	545.5
103	Spectrogram 1	1	547.5	548.4
104	Spectrogram 1	1	548.4	549.85
105	Spectrogram 1	1	551.5	552.35
106	Spectrogram 1	1	554.25	555.0500000000001
107	Spectrogram 1	1	557.35	558.0500000000001
108	Spectrogram 1	1	558.0500000000001	558.3000000000001
109	Spectrogram 1	1	560.9	561.85
110	Spectrogram 1	1	561.85	562.2
111	Spectrogram 1	1	564.75	565.6
112	Spectrogram 1	1	565.6	565.85
113	Spectrogram 1	1	569.35	570.0
114	Spectrogram 1	1	570.0	570.9
115	Spectrogram 1	1	570.9	571.85
116	Spectrogram 1	1	571.85	572.6
117	Spectrogram 1	1	572.6	572.9
118	Spectrogram 1	1	578.2	578.85
119	Spectrogram 1	1	579.15	579.8000000000001
120	Spectrogram 1	1	581.9	582.7
121	Spectrogram 1	1	582.7	583.3000000000001
122	Spectrogram 1	1	583.3000000000001	584.0500000000001
123	Spectrogram 1	1	584.0500000000001	584.7
124	Spectrogram 1	1	590.75	591.5
125	Spectrogram 1	1	591.5	591.8000000000001
126	Spectrogram 1	1	592.4	593.15
127	Spectrogram 1	1	593.15	593.45
128	Spectrogram 1	1	596.4	597.2
